"","guess1","guess2","guess3","truth1","truth2","truth3","code1","code2","code3","code4","code5","code6","game","id"
"94",1,2,3,5,2,5,1,1,1,1,27,1,1,1
"95",1,3,2,5,2,5,1,1,1,1,27,1,1,1
"96",1,2,1,5,2,5,1,1,1,1,27,1,1,1
"97",2,2,4,5,2,5,1,1,1,1,27,1,1,1
"98",3,2,5,5,2,5,1,1,1,1,27,1,1,1
"99",4,2,5,5,2,5,1,1,1,1,27,1,1,1
"100",5,2,5,5,2,5,1,1,1,1,27,1,1,1
"101",1,2,3,3,1,3,6,6,5,5,5,5,2,1
"102",1,3,1,3,1,3,6,6,5,5,5,5,2,1
"103",2,2,1,3,1,3,6,6,5,5,5,5,2,1
"104",1,1,3,3,1,3,6,6,5,5,5,5,2,1
"105",3,1,3,3,1,3,6,6,5,5,5,5,2,1
"106",1,2,3,1,1,2,5,5,6,5,6,5,3,1
"107",1,1,3,1,1,2,5,5,6,5,6,5,3,1
"108",1,3,3,1,1,2,5,5,6,5,6,5,3,1
"109",1,1,2,1,1,2,5,5,6,5,6,5,3,1
"110",1,2,3,4,4,4,1,1,1,27,1,1,4,1
"111",2,3,4,4,4,4,1,1,1,27,1,1,4,1
"112",2,4,5,4,4,4,1,1,1,27,1,1,4,1
"113",2,1,2,4,4,4,1,1,1,27,1,1,4,1
"114",1,4,4,4,4,4,1,1,1,27,1,1,4,1
"115",3,4,4,4,4,4,1,1,1,27,1,1,4,1
"116",4,4,4,4,4,4,1,1,1,27,1,1,4,1
"117",1,2,3,2,2,1,4,21,1,1,4,1,5,1
"118",1,3,1,2,2,1,4,21,1,1,4,1,5,1
"119",1,1,2,2,2,1,4,21,1,1,4,1,5,1
"120",1,1,3,2,2,1,4,21,1,1,4,1,5,1
"121",1,2,1,2,2,1,4,21,1,1,4,1,5,1
"122",1,4,1,2,2,1,4,21,1,1,4,1,5,1
"123",2,2,3,2,2,1,4,21,1,1,4,1,5,1
"124",3,2,3,2,2,1,4,21,1,1,4,1,5,1
"125",2,2,1,2,2,1,4,21,1,1,4,1,5,1
"322",1,1,1,4,1,1,6,6,5,5,5,5,1,2
"323",1,1,2,4,1,1,6,6,5,5,5,5,1,2
"324",1,3,1,4,1,1,6,6,5,5,5,5,1,2
"325",4,1,1,4,1,1,6,6,5,5,5,5,1,2
"326",4,4,4,4,4,4,1,1,1,27,1,1,2,2
"327",1,1,1,2,6,1,5,5,6,5,5,6,3,2
"328",1,2,2,2,6,1,5,5,6,5,5,6,3,2
"329",2,1,3,2,6,1,5,5,6,5,5,6,3,2
"330",2,4,1,2,6,1,5,5,6,5,5,6,3,2
"331",2,5,1,2,6,1,5,5,6,5,5,6,3,2
"332",2,6,1,2,6,1,5,5,6,5,5,6,3,2
"333",1,1,1,5,6,6,5,1,5,1,5,15,4,2
"334",6,6,6,5,6,6,5,1,5,1,5,15,4,2
"335",6,6,2,5,6,6,5,1,5,1,5,15,4,2
"336",6,4,6,5,6,6,5,1,5,1,5,15,4,2
"337",5,6,6,5,6,6,5,1,5,1,5,15,4,2
"338",2,2,2,6,5,6,1,5,1,5,5,15,5,2
"339",1,1,1,6,5,6,1,5,1,5,5,15,5,2
"340",3,3,3,6,5,6,1,5,1,5,5,15,5,2
"341",4,4,4,6,5,6,1,5,1,5,5,15,5,2
"342",5,5,5,6,5,6,1,5,1,5,5,15,5,2
"343",5,6,6,6,5,6,1,5,1,5,5,15,5,2
"344",6,5,5,6,5,6,1,5,1,5,5,15,5,2
"345",6,6,5,6,5,6,1,5,1,5,5,15,5,2
"346",5,6,5,6,5,6,1,5,1,5,5,15,5,2
"347",6,5,6,6,5,6,1,5,1,5,5,15,5,2
"388",2,1,3,6,1,1,5,5,5,5,6,6,1,3
"389",4,5,6,6,1,1,5,5,5,5,6,6,1,3
"390",1,1,6,6,1,1,5,5,5,5,6,6,1,3
"391",6,1,1,6,1,1,5,5,5,5,6,6,1,3
"392",3,2,1,1,4,1,5,5,5,6,5,6,2,3
"393",4,5,6,1,4,1,5,5,5,6,5,6,2,3
"394",1,5,1,1,4,1,5,5,5,6,5,6,2,3
"395",1,4,1,1,4,1,5,5,5,6,5,6,2,3
"396",2,2,4,4,2,5,5,15,5,5,1,1,3,3
"397",2,1,2,4,2,5,5,15,5,5,1,1,3,3
"398",1,2,3,4,2,5,5,15,5,5,1,1,3,3
"399",5,2,4,4,2,5,5,15,5,5,1,1,3,3
"400",4,2,5,4,2,5,5,15,5,5,1,1,3,3
"401",1,2,3,3,3,1,5,5,15,5,1,1,4,3
"402",3,4,5,3,3,1,5,5,15,5,1,1,4,3
"403",3,1,6,3,3,1,5,5,15,5,1,1,4,3
"404",3,3,1,3,3,1,5,5,15,5,1,1,4,3
"405",1,2,3,2,2,5,4,21,1,1,4,1,5,3
"406",4,2,5,2,2,5,4,21,1,1,4,1,5,3
"407",4,2,1,2,2,5,4,21,1,1,4,1,5,3
"408",6,2,5,2,2,5,4,21,1,1,4,1,5,3
"409",3,2,5,2,2,5,4,21,1,1,4,1,5,3
"410",2,2,5,2,2,5,4,21,1,1,4,1,5,3
"509",1,3,6,4,5,2,5,5,6,5,5,6,1,4
"510",2,4,5,4,5,2,5,5,6,5,5,6,1,4
"511",4,5,2,4,5,2,5,5,6,5,5,6,1,4
"512",1,1,1,1,2,1,21,4,1,1,4,1,2,4
"513",2,1,1,1,2,1,21,4,1,1,4,1,2,4
"514",1,1,2,1,2,1,21,4,1,1,4,1,2,4
"515",1,2,1,1,2,1,21,4,1,1,4,1,2,4
"516",1,1,1,1,1,1,27,1,1,1,1,1,3,4
"517",3,3,3,3,3,5,1,4,21,1,4,1,4,4
"518",2,3,3,3,3,5,1,4,21,1,4,1,4,4
"519",3,3,5,3,3,5,1,4,21,1,4,1,4,4
"520",2,3,5,4,1,2,6,5,5,5,6,5,5,4
"521",6,2,1,4,1,2,6,5,5,5,6,5,5,4
"522",1,4,2,4,1,2,6,5,5,5,6,5,5,4
"523",4,1,2,4,1,2,6,5,5,5,6,5,5,4
